date,Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka
1990,107385847.0,535738.0,868890700.0,215859.0,18111200.0,111090879.0,17015000.0
1991,109934590.0,534905.0,886348712.0,221963.0,18569445.0,114229172.0,17267000.0
1992,112430968.0,528304.0,903749636.0,227863.0,19050879.0,117291344.0,17426000.0
1993,114897543.0,519056.0,921107534.0,233611.0,19551500.0,120336722.0,17646000.0
1994,117369492.0,511588.0,938452550.0,239291.0,20065413.0,123450933.0,17891000.0
1995,119869585.0,509105.0,955804355.0,244965.0,20587157.0,126689577.0,18136000.0
1996,122400896.0,512594.0,973147577.0,250659.0,21115271.0,130083700.0,18336000.0
1997,124945315.0,521146.0,990460131.0,256347.0,21647305.0,133597492.0,18568000.0
1998,127478524.0,533737.0,1007746556.0,261973.0,22175431.0,137139290.0,18784000.0
1999,129966823.0,548599.0,1025014711.0,267456.0,22690158.0,140580398.0,19056000.0
2000,132383265.0,564350.0,1042261758.0,272745.0,23184177.0,143832014.0,19102000.0
2001,134729503.0,580888.0,1059500888.0,277825.0,23655119.0,146857081.0,18797000.0
2002,137006279.0,598455.0,1076705723.0,282743.0,24102862.0,149693684.0,18921000.0
2003,139185986.0,616383.0,1093786762.0,287594.0,24525527.0,152419974.0,19173000.0
2004,141235035.0,633893.0,1110626108.0,292505.0,24921910.0,155151394.0,19435000.0
2005,143135180.0,650417.0,1127143548.0,297576.0,25292058.0,157971415.0,19644000.0
2006,144868702.0,665568.0,1143289350.0,302825.0,25634043.0,160905794.0,19858000.0
2007,146457067.0,679365.0,1159095250.0,308239.0,25950022.0,163928329.0,20039000.0
2008,147969967.0,692159.0,1174662334.0,313843.0,26249412.0,167008083.0,20217000.0
2009,149503100.0,704542.0,1190138069.0,319660.0,26544943.0,170093999.0,20450000.0
